RAW,SKF,TIMETAKEN
609.08,609.2,2
608.88,609.19,2
608.88,609.19,1
609.02,609.19,1
609.02,609.19,1
609.02,609.19,1
608.91,609.19,1
608.91,609.19,1
608.83,609.18,1
608.83,609.18,1
608.83,609.18,1
609.15,609.18,1
609.15,609.18,1
608.96,609.18,1
608.96,609.18,2
608.83,609.18,1
608.83,609.17,1
608.83,609.17,1
616.66,609.21,1
616.66,609.25,1
609.17,609.25,1
609.17,609.25,1
609.17,609.25,1
608.86,609.25,1
608.86,609.25,1
608.67,609.24,1
608.67,609.24,1
608.67,609.24,1
608.8,609.24,1
608.8,609.23,1
608.78,609.23,1
608.78,609.23,1
608.78,609.22,1
608.78,609.22,1
608.78,609.22,1
608.82,609.22,1
608.82,609.22,1
608.85,609.21,1
608.85,609.21,1
608.85,609.21,1
608.62,609.21,1
608.62,609.2,1
628,609.31,1
628,609.44,1
628,609.59,1
608.97,609.58,1
608.97,609.58,1
608.73,609.57,1
608.73,609.56,1
608.73,609.55,1
608.8,609.55,1
608.8,609.54,1
608.93,609.53,1
608.93,609.53,1
608.79,609.52,1
608.79,609.51,1
608.79,609.51,1
608.81,609.5,1
608.81,609.49,1
608.65,609.49,1
608.65,609.48,1
608.65,609.47,1
608.95,609.47,1
608.95,609.46,1
608.89,609.46,1
608.89,609.45,1
608.89,609.45,1
629.72,609.63,1
629.72,609.84,1
609.02,609.83,1
609.02,609.82,1
609.02,609.81,1
608.75,609.8,1
608.75,609.79,1
608.82,609.77,1
608.82,609.76,1
609.15,609.75,1
609.15,609.75,2
609.15,609.74,1
608.96,609.73,1
608.96,609.72,1
608.9,609.71,1
608.9,609.7,1
608.9,609.69,1
609.11,609.68,1
609.11,609.68,1
608.83,609.67,1
608.83,609.66,1
608.83,609.65,1
608.82,609.64,1
608.82,609.63,1
615.02,609.69,1
615.02,609.76,1
608.66,609.74,1
608.66,609.73,1
608.66,609.72,1
608.8,609.7,1
608.8,609.69,1
608.69,609.68,1
608.69,609.67,1
608.69,609.66,1
608.72,609.64,1
608.72,609.63,1
608.75,609.62,1
608.75,609.61,1
608.75,609.6,1
608.82,609.59,1
608.82,609.58,1
608.83,609.57,1
608.83,609.56,1
608.83,609.56,1
608.77,609.55,1
608.77,609.54,1
608.77,609.53,1
608.77,609.52,1
608.79,609.51,1
608.79,609.5,1
608.79,609.5,1
619.65,609.61,1
619.65,609.74,1
608.96,609.73,1
608.96,609.72,1
608.96,609.71,1
608.76,609.69,1
608.76,609.68,1
608.83,609.67,1
608.83,609.66,1
608.83,609.65,1
608.63,609.63,1
608.63,609.62,1
608.96,609.61,1
608.96,609.6,1
608.96,609.6,1
608.73,609.59,1
608.73,609.57,1
608.74,609.56,1
608.74,609.55,1
608.78,609.54,1
608.78,609.54,1
608.78,609.53,1
608.87,609.52,1
608.87,609.51,1
629.75,609.76,1
629.75,610.04,1
629.75,610.38,1
609.11,610.35,1
609.11,610.33,1
608.77,610.3,1
608.77,610.27,1
608.77,610.24,1
608.62,610.21,1
608.62,610.18,1
608.68,610.15,1
608.68,610.12,1
608.85,610.1,1
608.85,610.07,1
608.85,610.05,1
608.65,610.02,1
608.65,610,1
608.84,609.98,1
608.84,609.95,1
608.84,609.93,1
608.54,609.91,1
608.54,609.88,1
608.76,609.86,1
608.76,609.84,1
608.76,609.83,1
634.86,610.27,1
634.86,610.79,1
608.84,610.74,1
608.84,610.69,1
608.84,610.65,1
608.8,610.6,1
608.8,610.55,1
608.63,610.5,1
608.63,610.46,1
608.62,610.41,1
608.62,610.37,1
608.62,610.33,1
608.79,610.29,1
608.79,610.25,1
608.58,610.21,1
608.58,610.17,1
608.58,610.14,1
608.69,610.1,1
608.69,610.07,1
608.52,610.03,1
608.52,610,1
608.52,609.97,1
608.53,609.93,1
608.53,609.9,1
615.92,610.04,1
615.92,610.17,1
615.92,610.31,1
608.75,610.27,1
608.75,610.23,1
608.61,610.19,1
608.61,610.15,1
608.69,610.12,1
608.69,610.09,1
608.69,610.05,1
608.71,610.02,1
608.71,609.99,1
608.66,609.96,1
608.66,609.93,1
608.66,609.91,1
608.71,609.88,1
608.71,609.86,1
608.69,609.83,1
608.69,609.81,1
608.69,609.78,1
608.6,609.76,1
608.6,609.73,1
608.76,609.71,1
608.76,609.7,1
608.55,609.67,1
608.55,609.65,1
608.55,609.63,1
616.65,609.77,1
616.65,609.91,1
608.66,609.88,1
608.66,609.85,1
608.66,609.83,1
608.65,609.8,1
608.65,609.78,1
608.66,609.76,1
608.66,609.74,1
608.66,609.71,1
608.44,609.69,1
608.44,609.66,1
608.77,609.65,1
608.77,609.63,1
608.77,609.61,1
608.65,609.6,1
608.65,609.58,1
608.7,609.56,1
608.7,609.55,1
608.6,609.53,1
608.6,609.51,1
608.6,609.5,1
608.86,609.48,1
608.86,609.47,1
624.91,609.74,1
624.91,610.04,1
624.91,610.37,1
608.58,610.32,1
608.58,610.28,1
608.81,610.24,1
608.81,610.21,1
608.81,610.18,1
608.7,610.14,1
608.7,610.11,1
608.92,610.08,1
608.92,610.05,1
608.92,610.03,1
608.39,609.99,1
608.39,609.95,1
608.66,609.93,1
608.66,609.9,1
608.73,609.87,1
608.73,609.85,1
608.73,609.82,1
608.82,609.8,1
608.82,609.78,1
