RAW,SKF,TIMETAKEN,,RAW,SKF
609.05,610.62,2,MIN,608.66,610.44
609.05,610.59,1,MAX,621.86,613.12
609.16,610.56,1,,,
609.16,610.53,2,,,
609.16,610.5,1,,,
613.33,610.56,1,,,
613.33,610.62,1,,,
609.13,610.59,1,,,
609.13,610.55,2,,,
609.64,610.53,1,,,
609.64,610.52,1,,,
609.64,610.5,1,,,
612.13,610.53,1,,,
612.13,610.56,1,,,
609.06,610.53,1,,,
609.06,610.5,1,,,
609.06,610.47,1,,,
614.77,610.56,1,,,
614.77,610.65,1,,,
609.34,610.62,1,,,
609.34,610.59,1,,,
609.34,610.57,1,,,
609.32,610.54,1,,,
609.32,610.52,1,,,
615.26,610.61,1,,,
615.26,610.71,2,,,
608.87,610.67,1,,,
608.87,610.63,1,,,
608.87,610.6,1,,,
616.4,610.72,1,,,
616.4,610.84,1,,,
615.34,610.94,1,,,
615.34,611.04,1,,,
615.34,611.14,1,,,
609.66,611.11,1,,,
609.66,611.08,1,,,
611.69,611.09,1,,,
611.69,611.1,1,,,
611.69,611.12,1,,,
608.77,611.06,1,,,
608.77,611.01,1,,,
609.16,610.97,1,,,
609.16,610.93,1,,,
608.99,610.89,1,,,
608.99,610.85,1,,,
608.99,610.81,1,,,
609.26,610.77,1,,,
609.26,610.74,1,,,
613.74,610.8,1,,,
613.74,610.87,1,,,
613.74,610.93,2,,,
608.93,610.89,1,,,
608.93,610.84,1,,,
617.33,610.99,1,,,
617.33,611.13,1,,,
617.33,611.28,1,,,
612.82,611.32,1,,,
612.82,611.35,1,,,
609.04,611.3,1,,,
609.04,611.24,1,,,
609.04,611.19,1,,,
608.88,611.13,1,,,
608.88,611.08,1,,,
610.19,611.06,1,,,
610.19,611.04,1,,,
609.34,611,1,,,
609.34,610.96,1,,,
609.34,610.92,1,,,
612.63,610.96,1,,,
612.63,611,1,,,
608.97,610.95,1,,,
608.97,610.91,1,,,
608.97,610.87,1,,,
616.23,610.99,1,,,
616.23,611.11,1,,,
608.8,611.05,2,,,
608.8,611,1,,,
608.8,610.95,1,,,
614.44,611.03,1,,,
614.44,611.11,1,,,
609.06,611.06,1,,,
609.06,611.01,1,,,
608.83,610.96,2,,,
608.83,610.91,1,,,
608.83,610.86,1,,,
614.16,610.94,1,,,
614.16,611.02,1,,,
609.01,610.97,1,,,
609.01,610.92,2,,,
609.01,610.88,1,,,
609.22,610.84,2,,,
609.22,610.8,1,,,
613.54,610.86,1,,,
613.54,610.92,1,,,
608.73,610.87,1,,,
608.73,610.82,1,,,
608.73,610.77,1,,,
609.25,610.74,1,,,
609.25,610.71,1,,,
611.1,610.71,1,,,
611.1,610.72,1,,,
611.1,610.73,1,,,
609.24,610.7,1,,,
609.24,610.67,1,,,
609.26,610.64,1,,,
609.26,610.61,1,,,
609.15,610.58,1,,,
611.01,610.59,1,,,
611.01,610.6,1,,,
609.02,610.56,1,,,
609.02,610.53,1,,,
612.25,610.57,1,,,
612.25,610.6,1,,,
612.25,610.63,1,,,
609.05,610.6,1,,,
609.05,610.57,1,,,
614.46,610.65,1,,,
614.46,610.72,1,,,
614.46,610.8,1,,,
609.01,610.76,1,,,
609.01,610.73,1,,,
608.93,610.69,1,,,
608.93,610.65,1,,,
608.93,610.62,1,,,
612.77,610.66,1,,,
612.77,610.71,1,,,
609.27,610.68,1,,,
609.27,610.65,1,,,
609.5,610.62,1,,,
611.42,610.64,1,,,
611.42,610.66,1,,,
608.83,610.62,1,,,
608.83,610.59,2,,,
609.5,610.56,1,,,
609.5,610.54,1,,,
612.61,610.58,2,,,
612.61,610.62,1,,,
612.61,610.66,1,,,
608.66,610.62,1,,,
608.66,610.58,1,,,
609.27,610.56,2,,,
609.27,610.53,1,,,
609.27,610.51,1,,,
610.65,610.51,1,,,
610.65,610.52,2,,,
609.03,610.49,1,,,
609.03,610.46,1,,,
609.03,610.44,1,,,
614.04,610.5,1,,,
614.04,610.57,2,,,
609.01,610.54,1,,,
609.01,610.51,1,,,
614.9,610.59,1,,,
614.9,610.67,1,,,
614.9,610.75,1,,,
615.33,610.84,1,,,
615.33,610.93,1,,,
609.25,610.9,1,,,
609.25,610.86,1,,,
609.25,610.83,1,,,
614.58,610.91,1,,,
614.58,610.98,1,,,
608.77,610.94,1,,,
608.77,610.89,1,,,
608.77,610.85,1,,,
610.79,610.85,1,,,
610.79,610.84,1,,,
609.14,610.81,1,,,
609.14,610.78,1,,,
609.14,610.74,1,,,
608.8,610.7,1,,,
608.8,610.67,1,,,
612.7,610.71,1,,,
612.7,610.75,1,,,
609.03,610.71,2,,,
609.03,610.68,1,,,
609.03,610.65,1,,,
615.12,610.74,1,,,
615.12,610.82,1,,,
608.78,610.78,1,,,
608.78,610.74,1,,,
608.78,610.7,1,,,
608.86,610.66,1,,,
608.86,610.62,1,,,
609.02,610.59,1,,,
609.02,610.56,1,,,
609.27,610.53,1,,,
609.27,610.51,1,,,
609.27,610.48,1,,,
609.38,610.46,1,,,
609.38,610.44,1,,,
