PACKET,RAW,SKF
1,607.61,607.91
2,607.61,607.90
3,607.61,607.90
4,607.71,607.90
5,607.71,607.89
6,607.74,607.89
7,607.74,607.89
8,607.74,607.89
9,607.80,607.89
10,607.80,607.89
11,607.87,607.89
12,607.87,607.89
13,607.78,607.88
14,607.78,607.88
15,607.78,607.88
16,607.98,607.88
17,607.98,607.88
18,607.64,607.88
19,607.64,607.88
20,607.64,607.88
21,607.59,607.87
22,607.59,607.87
23,612.19,607.92
24,612.19,607.96
25,612.19,608.01
26,607.78,608.01
27,607.78,608.00
28,607.80,608.00
29,607.80,608.00
30,607.80,608.00
31,607.95,608.00
32,607.95,608.00
33,607.83,607.99
34,607.83,607.99
35,607.49,607.99
36,607.49,607.98
37,607.49,607.98
38,607.83,607.98
39,607.83,607.97
40,607.61,607.97
41,607.61,607.97
42,607.61,607.96
43,607.89,607.96
44,607.89,607.96
45,607.86,607.96
46,607.86,607.96
47,607.86,607.96
48,608.90,607.97
49,608.90,607.98
50,607.43,607.97
51,607.43,607.97
52,607.55,607.96
53,607.55,607.96
54,607.55,607.95
55,607.76,607.95
56,607.76,607.95
57,607.56,607.95
58,607.56,607.94
59,607.56,607.94
60,607.68,607.94
61,607.68,607.94
62,607.45,607.93
63,607.45,607.93
64,607.45,607.92
65,607.43,607.92
66,607.43,607.91
67,607.61,607.91
68,607.61,607.91
69,607.72,607.91
70,607.76,607.91
71,607.76,607.90
72,608.00,607.91
73,608.00,607.91
74,608.86,607.91
75,608.86,607.92
76,608.86,607.93
77,607.60,607.93
78,607.60,607.92
79,607.32,607.92
80,607.32,607.91
81,607.32,607.91
82,607.35,607.91
83,607.35,607.90
84,607.55,607.90
85,607.55,607.89
86,607.55,607.89
87,607.53,607.89
88,607.53,607.89
89,607.49,607.88
90,607.49,607.88
91,607.64,607.88
92,607.64,607.88
93,607.64,607.87
94,607.81,607.87
95,607.81,607.87
96,607.67,607.87
97,607.67,607.87
98,607.67,607.87
99,613.48,607.91
100,613.48,607.96
101,607.67,607.95
102,607.67,607.95
103,607.67,607.95
104,607.67,607.95
105,607.67,607.94
106,607.36,607.94
107,607.36,607.93
108,607.36,607.93
109,607.64,607.93
110,607.64,607.93
111,607.52,607.92
112,607.52,607.92
113,607.60,607.92
114,607.60,607.91
115,607.60,607.91
116,607.55,607.91
117,607.55,607.91
118,607.68,607.90
119,607.68,607.90
120,607.68,607.90
121,607.47,607.90
122,607.47,607.89
123,612.39,607.93
124,612.39,607.96
125,612.39,608.00
126,607.85,608.00
127,607.85,608.00
128,607.43,607.99
129,607.43,607.99
130,607.40,607.98
131,607.40,607.98
132,607.40,607.97
133,607.54,607.97
134,607.54,607.97
135,607.58,607.96
136,607.58,607.96
137,607.58,607.96
138,607.68,607.95
139,607.68,607.95
140,607.51,607.95
141,607.51,607.94
142,607.51,607.94
143,607.46,607.94
144,607.46,607.93
145,607.60,607.93
146,607.60,607.93
147,607.85,607.93
148,608.66,607.93
149,608.66,607.94
150,607.48,607.94
151,607.48,607.93
152,607.67,607.93
153,607.67,607.93
154,607.67,607.93
155,607.63,607.92
156,607.63,607.92
157,607.66,607.92
158,607.66,607.92
159,607.66,607.92
160,607.36,607.91
161,607.36,607.91
162,607.45,607.90
163,607.45,607.90
164,607.45,607.90
165,607.46,607.89
166,607.46,607.89
167,607.54,607.89
168,607.54,607.89
169,607.56,607.88
170,607.56,607.88
171,607.56,607.88
172,607.50,607.88
173,607.50,607.87
174,608.31,607.88
175,608.31,607.88
176,608.31,607.88
177,607.61,607.88
178,607.61,607.88
179,607.74,607.88
180,607.74,607.88
181,607.74,607.88
182,607.70,607.88
183,607.70,607.87
184,607.51,607.87
185,607.51,607.87
186,607.51,607.87
187,607.50,607.86
188,607.50,607.86
189,607.60,607.86
190,607.60,607.86
191,607.65,607.86
192,607.65,607.86
193,607.65,607.85
194,607.70,607.85
195,607.70,607.85
196,607.67,607.85
197,607.67,607.85
198,607.67,607.85
199,611.85,607.87
200,611.85,607.90
201,607.69,607.90
202,607.69,607.90
203,607.69,607.90
204,607.68,607.90
205,607.68,607.89
206,607.60,607.89
207,607.60,607.89
208,607.70,607.89
209,607.70,607.89
210,607.70,607.89
211,607.49,607.88
212,607.49,607.88
213,607.70,607.88
214,607.70,607.88
215,607.70,607.88
216,607.57,607.88
217,607.57,607.87
218,607.77,607.87
219,607.77,607.87
220,607.77,607.87
221,607.86,607.87
222,607.86,607.87
223,614.41,607.91
224,614.41,607.95
225,614.41,608.00
226,607.69,608.00
227,607.69,607.99
228,607.72,607.99
229,607.72,607.99
230,607.65,607.99
231,607.65,607.99
232,607.65,607.98
233,607.84,607.98
234,607.84,607.98
235,607.57,607.98
236,607.57,607.98
237,607.57,607.97
238,607.64,607.97
239,607.64,607.97
240,607.75,607.97
241,607.75,607.96
242,607.75,607.96
243,607.64,607.96
244,607.64,607.96
245,607.80,607.96
246,607.80,607.96
247,608.24,607.96
248,608.24,607.96
249,608.24,607.96
250,607.61,607.96
251,607.61,607.96
252,607.55,607.96
253,607.55,607.95
254,607.55,607.95
255,607.53,607.95
256,607.53,607.94
257,607.38,607.94
258,607.38,607.94
259,607.38,607.93
260,607.78,607.93
261,607.78,607.93
262,607.61,607.93
263,607.61,607.93
264,607.61,607.93
265,607.48,607.92
266,607.48,607.92
267,607.67,607.92
268,607.67,607.92
269,607.69,607.92
270,607.69,607.91
271,607.69,607.91
272,607.87,607.91
273,607.87,607.91
274,610.35,607.93
275,610.35,607.94
276,610.35,607.96
277,607.94,607.96
278,607.94,607.96
279,607.92,607.96
280,607.92,607.96
281,607.92,607.96
282,607.77,607.96
283,607.77,607.95
284,607.92,607.95
285,607.92,607.95
286,607.60,607.95
287,607.70,607.95
288,607.70,607.95
289,607.66,607.95
290,607.66,607.94
291,607.79,607.94
292,607.79,607.94
293,607.79,607.94
294,607.89,607.94
295,607.89,607.94
296,607.95,607.94
297,607.95,607.94
298,607.95,607.94
299,611.75,607.96
300,611.75,607.99
301,607.92,607.99
302,607.92,607.99
303,607.92,607.98
304,607.83,607.98
305,607.83,607.98
306,607.74,607.98
307,607.74,607.98
308,607.55,607.98
309,607.55,607.97
310,607.55,607.97
311,607.63,607.97
312,607.63,607.97
313,607.54,607.97
314,607.54,607.96
315,607.54,607.96
316,607.73,607.96
317,607.73,607.96
318,607.87,607.96
319,607.87,607.96
320,607.87,607.96
321,607.80,607.96
322,607.80,607.95
323,612.00,607.98
324,612.00,608.00
325,612.00,608.03
326,607.55,608.02
327,607.55,608.02
328,607.98,608.02
329,607.98,608.02
330,607.59,608.02
331,607.59,608.01
332,607.59,608.01
333,607.83,608.01
334,607.83,608.01
335,607.83,608.01
336,607.83,608.01
337,607.83,608.01
338,607.98,608.01
339,607.98,608.01
340,607.61,608.00
341,607.61,608.00
342,607.61,608.00
343,607.59,608.00
344,607.59,607.99
345,607.55,607.99
346,607.55,607.99
347,608.05,607.99
348,608.05,607.99
349,608.05,607.99
350,607.74,607.99
351,607.74,607.99
352,607.64,607.98
353,607.64,607.98
354,607.64,607.98
355,607.49,607.98
356,607.49,607.98
357,607.41,607.97
358,607.41,607.97
359,607.41,607.97
360,607.69,607.96
361,607.69,607.96
362,607.66,607.96
363,607.66,607.96
364,607.66,607.96
365,607.50,607.95
366,607.50,607.95
367,607.66,607.95
368,607.66,607.95
369,607.73,607.95
370,607.73,607.95
371,607.73,607.95
372,607.55,607.94
373,607.55,607.94
374,611.12,607.96
375,611.12,607.98
376,611.12,607.99
377,607.65,607.99
378,607.65,607.99
379,607.40,607.99
380,607.40,607.98
381,607.40,607.98
382,607.40,607.98
383,607.40,607.97
384,607.40,607.97
385,607.40,607.97
386,607.43,607.96
387,607.43,607.96
388,607.43,607.96
389,607.46,607.95
390,607.46,607.95
391,607.60,607.95
392,607.60,607.95
393,607.60,607.94
394,607.65,607.94
395,607.65,607.94
396,607.67,607.94
397,607.67,607.94
398,607.67,607.94
399,614.92,607.98
400,614.92,608.02
401,607.62,608.02
402,607.62,608.01
403,607.62,608.01
404,607.76,608.01
405,607.76,608.01
406,607.89,608.01
407,607.89,608.01
408,607.64,608.00
409,607.64,608.00
410,607.64,608.00
411,607.76,608.00
412,607.76,608.00
413,607.84,608.00
414,607.84,607.99
415,607.84,607.99
416,607.81,607.99
417,607.81,607.99
418,607.67,607.99
419,607.67,607.99
420,607.67,607.99
421,607.78,607.98
422,607.78,607.98
423,613.96,608.02
424,613.96,608.06
425,607.39,608.05
426,607.39,608.05
427,607.39,608.04
428,607.71,608.04
429,607.71,608.04
430,607.74,608.04
431,607.74,608.04
432,607.74,608.03
433,607.72,608.03
434,607.72,608.03
435,607.82,608.03
436,607.82,608.03
437,607.82,608.03
438,607.68,608.02
439,607.68,608.02
440,607.88,608.02
441,607.88,608.02
442,607.88,608.02
443,607.86,608.02
444,607.86,608.02
445,607.63,608.01
446,607.63,608.01
447,607.99,608.01
448,607.99,608.01
449,607.99,608.01
450,607.85,608.01
451,607.85,608.01
452,607.82,608.01
453,607.82,608.01
454,607.82,608.01
455,607.72,608.00
456,607.72,608.00
457,607.67,608.00
458,607.67,608.00
459,607.67,608.00
460,607.48,607.99
461,607.48,607.99
462,607.71,607.99
463,607.71,607.99
464,607.78,607.99
