RAW,SKF
607.62,609.81
607.76,609.77
607.76,609.73
616.07,609.86
616.07,610.00
616.07,610.13
607.79,610.08
607.79,610.02
607.60,609.97
607.60,609.91
607.60,609.86
611.32,609.89
611.32,609.93
607.81,609.88
607.81,609.83
609.54,609.82
609.54,609.82
609.54,609.81
610.27,609.82
610.27,609.83
608.36,609.80
608.36,609.77
610.94,609.79
610.94,609.82
610.94,609.84
607.49,609.79
607.49,609.75
613.81,609.83
613.81,609.91
613.81,609.99
607.91,609.95
607.91,609.90
607.66,609.86
607.66,609.81
607.66,609.76
608.61,609.74
608.61,609.72
615.64,609.84
615.64,609.96
615.64,610.09
610.62,610.10
610.62,610.12
615.17,610.23
615.17,610.34
607.68,610.28
607.68,610.22
607.68,610.16
611.17,610.18
611.17,610.21
609.04,610.18
609.04,610.15
609.04,610.13
608.61,610.09
608.61,610.06
614.03,610.15
614.03,610.23
614.03,610.32
607.68,610.26
607.68,610.20
608.39,610.16
608.39,610.12
608.39,610.08
607.81,610.03
607.81,609.98
607.67,609.93
607.67,609.87
610.36,609.89
610.36,609.90
610.36,609.91
607.63,609.86
607.63,609.81
609.37,609.80
609.37,609.79
609.37,609.78
611.90,609.83
611.90,609.87
610.02,609.87
610.02,609.87
610.02,609.88
611.43,609.91
611.43,609.94
612.57,609.99
612.57,610.04
610.18,610.04
610.18,610.04
610.18,610.04
613.60,610.11
613.60,610.17
607.65,610.13
607.65,610.08
607.65,610.03
614.13,610.11
614.13,610.19
609.75,610.18
609.75,610.17
609.17,610.15
609.17,610.14
610.70,610.15
610.70,610.16
610.70,610.17
609.12,610.15
609.12,610.13
620.04,610.31
620.04,610.50
620.04,610.70
611.88,610.72
611.88,610.75
608.53,610.70
608.53,610.65
620.81,610.88
620.81,611.11
620.81,611.35
607.64,611.25
607.64,611.16
612.11,611.18
612.11,611.21
612.11,611.23
615.59,611.34
615.59,611.46
607.77,611.36
607.77,611.26
607.77,611.17
618.77,611.37
618.77,611.59
607.65,611.47
607.65,611.35
607.65,611.24
617.06,611.42
617.06,611.60
612.99,611.64
612.99,611.68
609.19,611.61
609.19,611.53
609.19,611.46
609.89,611.41
609.89,611.37
611.02,611.36
611.02,611.35
611.02,611.34
609.23,611.28
609.23,611.23
614.11,611.30
614.11,611.38
609.03,611.32
609.03,611.25
609.03,611.19
609.26,611.14
609.26,611.09
607.59,611.00
607.59,610.91
607.59,610.82
610.11,610.80
610.11,610.79
610.65,610.78
610.65,610.78
610.65,610.78
608.37,610.72
608.37,610.66
609.08,610.63
609.08,610.59
614.21,610.67
614.21,610.76
614.21,610.84
610.77,610.84
610.77,610.84
612.97,610.89
612.97,610.93
612.97,610.98
607.64,610.90
607.64,610.83
610.14,610.81
610.14,610.80
610.14,610.78
611.48,610.80
611.48,610.81
607.55,610.74
607.55,610.67
607.55,610.60
612.90,610.65
612.90,610.70
609.90,610.69
609.90,610.67
610.10,610.66
610.10,610.65
610.10,610.63
621.33,610.85
621.33,611.09
607.60,611.00
607.60,610.92
607.60,610.84
625.56,611.20
625.56,611.60
607.59,611.48
607.59,611.36
607.59,611.24
610.32,611.21
610.32,611.18
617.69,611.38
617.69,611.57
617.66,611.77
607.66,611.63
607.66,611.50
614.88,611.61
614.88,611.72
607.75,611.59
607.75,611.46
607.75,611.34
609.28,611.27
609.28,611.21
618.24,611.43
618.24,611.66
618.24,611.89
607.76,611.74
607.76,611.60
609.70,611.53
609.70,611.47
609.70,611.41
622.12,611.77
622.12,612.15
607.90,611.98
607.90,611.83
613.03,611.87
613.03,611.92
613.03,611.96
607.58,611.80
607.58,611.65
624.40,612.11
624.40,612.59
624.40,613.09
610.54,612.97
610.54,612.87
607.51,612.63
607.51,612.41
608.81,612.25
608.81,612.10
608.81,611.96
607.58,611.78
607.58,611.60
610.80,611.57
610.80,611.53
610.80,611.51
613.23,611.57
613.23,611.63
607.65,611.49
607.65,611.35
608.50,611.24
