PACKET,RAW,SKF
0,607.62,609.81
1,607.76,609.77
2,607.76,609.73
3,616.07,609.86
4,616.07,610.00
5,616.07,610.13
6,607.79,610.08
7,607.79,610.02
8,607.60,609.97
9,607.60,609.91
10,607.60,609.86
11,611.32,609.89
12,611.32,609.93
13,607.81,609.88
14,607.81,609.83
15,609.54,609.82
16,609.54,609.82
17,609.54,609.81
18,610.27,609.82
19,610.27,609.83
20,608.36,609.80
21,608.36,609.77
22,610.94,609.79
23,610.94,609.82
24,610.94,609.84
25,607.49,609.79
26,607.49,609.75
27,613.81,609.83
28,613.81,609.91
29,613.81,609.99
30,607.91,609.95
31,607.91,609.90
32,607.66,609.86
33,607.66,609.81
34,607.66,609.76
35,608.61,609.74
36,608.61,609.72
37,615.64,609.84
38,615.64,609.96
39,615.64,610.09
40,610.62,610.10
41,610.62,610.12
42,615.17,610.23
43,615.17,610.34
44,607.68,610.28
45,607.68,610.22
46,607.68,610.16
47,611.17,610.18
48,611.17,610.21
49,609.04,610.18
50,609.04,610.15
51,609.04,610.13
52,608.61,610.09
53,608.61,610.06
54,614.03,610.15
55,614.03,610.23
56,614.03,610.32
57,607.68,610.26
58,607.68,610.20
59,608.39,610.16
60,608.39,610.12
61,608.39,610.08
62,607.81,610.03
63,607.81,609.98
64,607.67,609.93
65,607.67,609.87
66,610.36,609.89
67,610.36,609.90
68,610.36,609.91
69,607.63,609.86
70,607.63,609.81
71,609.37,609.80
72,609.37,609.79
73,609.37,609.78
74,611.90,609.83
75,611.90,609.87
76,610.02,609.87
77,610.02,609.87
78,610.02,609.88
79,611.43,609.91
80,611.43,609.94
81,612.57,609.99
82,612.57,610.04
83,610.18,610.04
84,610.18,610.04
85,610.18,610.04
86,613.60,610.11
87,613.60,610.17
88,607.65,610.13
89,607.65,610.08
90,607.65,610.03
91,614.13,610.11
92,614.13,610.19
93,609.75,610.18
94,609.75,610.17
95,609.17,610.15
96,609.17,610.14
97,610.70,610.15
98,610.70,610.16
99,610.70,610.17
100,609.12,610.15
101,609.12,610.13
102,620.04,610.31
103,620.04,610.50
104,620.04,610.70
105,611.88,610.72
106,611.88,610.75
107,608.53,610.70
108,608.53,610.65
109,620.81,610.88
110,620.81,611.11
111,620.81,611.35
112,607.64,611.25
113,607.64,611.16
114,612.11,611.18
115,612.11,611.21
116,612.11,611.23
117,615.59,611.34
118,615.59,611.46
119,607.77,611.36
120,607.77,611.26
121,607.77,611.17
122,618.77,611.37
123,618.77,611.59
124,607.65,611.47
125,607.65,611.35
126,607.65,611.24
127,617.06,611.42
128,617.06,611.60
129,612.99,611.64
130,612.99,611.68
131,609.19,611.61
132,609.19,611.53
133,609.19,611.46
134,609.89,611.41
135,609.89,611.37
136,611.02,611.36
137,611.02,611.35
138,611.02,611.34
139,609.23,611.28
140,609.23,611.23
141,614.11,611.30
142,614.11,611.38
143,609.03,611.32
144,609.03,611.25
145,609.03,611.19
146,609.26,611.14
147,609.26,611.09
148,607.59,611.00
149,607.59,610.91
150,607.59,610.82
151,610.11,610.80
152,610.11,610.79
153,610.65,610.78
154,610.65,610.78
155,610.65,610.78
156,608.37,610.72
157,608.37,610.66
158,609.08,610.63
159,609.08,610.59
160,614.21,610.67
161,614.21,610.76
162,614.21,610.84
163,610.77,610.84
164,610.77,610.84
165,612.97,610.89
166,612.97,610.93
167,612.97,610.98
168,607.64,610.90
169,607.64,610.83
170,610.14,610.81
171,610.14,610.80
172,610.14,610.78
173,611.48,610.80
174,611.48,610.81
175,607.55,610.74
176,607.55,610.67
177,607.55,610.60
178,612.90,610.65
179,612.90,610.70
180,609.90,610.69
181,609.90,610.67
182,610.10,610.66
183,610.10,610.65
184,610.10,610.63
185,621.33,610.85
186,621.33,611.09
187,607.60,611.00
188,607.60,610.92
189,607.60,610.84
190,625.56,611.20
191,625.56,611.60
192,607.59,611.48
193,607.59,611.36
194,607.59,611.24
195,610.32,611.21
196,610.32,611.18
197,617.69,611.38
198,617.69,611.57
199,617.66,611.77
200,607.66,611.63
201,607.66,611.50
202,614.88,611.61
203,614.88,611.72
204,607.75,611.59
205,607.75,611.46
206,607.75,611.34
207,609.28,611.27
208,609.28,611.21
209,618.24,611.43
210,618.24,611.66
211,618.24,611.89
212,607.76,611.74
213,607.76,611.60
214,609.70,611.53
215,609.70,611.47
216,609.70,611.41
217,622.12,611.77
218,622.12,612.15
219,607.90,611.98
220,607.90,611.83
221,613.03,611.87
222,613.03,611.92
223,613.03,611.96
224,607.58,611.80
225,607.58,611.65
226,624.40,612.11
227,624.40,612.59
228,624.40,613.09
229,610.54,612.97
230,610.54,612.87
231,607.51,612.63
232,607.51,612.41
233,608.81,612.25
234,608.81,612.10
235,608.81,611.96
236,607.58,611.78
237,607.58,611.60
238,610.80,611.57
239,610.80,611.53
240,610.80,611.51
241,613.23,611.57
242,613.23,611.63
243,607.65,611.49
244,607.65,611.35
245,608.50,611.24
246,608.50,611.14
247,608.50,611.05
248,607.58,610.92
249,607.58,610.80
250,610.79,610.80
251,610.79,610.80
252,607.78,610.70
253,607.78,610.60
254,607.78,610.51
255,607.83,610.42
256,607.83,610.34
257,608.57,610.28
258,608.57,610.23
259,608.54,610.17
260,612.01,610.23
261,612.01,610.29
